title,price,direction,seller,expenses,warranty,,
"Dpto Alquiler,  3 dorm,  B° Alto Alberdi,  Sol de Mayo 506", $ 14.500 ,SOL DE MAYO 506  Bº Alberdi,YUKON Servicios Inmobiliarios,expensas ordinarias $4.400,,,
DPTO EN ALQUILER 3 DORM. NUEVA CORDOBA BV. ILLIA 46, $ 30.000 ,BV ARTURO ILLIA 46  Bº Nueva Córdoba,YUKON Servicios Inmobiliarios,expensas $5.000 promedio mensual aproximado,,,
Dpto Tres Dorm Nueva Cordoba Amplio! Exc estado de conservacion!! 105 mts2, $ 30.000 ,Obispo Trejo 784  Bº Nueva Córdoba,, Expensas $4350 ,,,
"Dpto. de 3 dormitorios,  en alquiler sobre Av. Velez Sarsfield.", $ 23.000 ,Velez Sarsfield 1417  Bº Nueva Córdoba,Vaes Propiedades,,,,
Dueño alquila, $ 20.000 ,Cabana 3335  Bº Amp. San Pablo,,,,,
Dueño Alquila Amplio Departamento (Piso) 3 Dorm. Zona Centro, $ 26.000 ,Av. Olmos 299  Bº Centro,, Expensas $7000 ,,,
Dueño alquila departamento 3 dormitorios en Guemes  /  Nueva Cba, $ 26.000 ,Belgrano 1103  Bº Guemes,, Expensas $3800 ,"es un primer piso por escalera. el departamento hoy cuenta con heladera, cocina, lavarropas, mesa, sillas, sillón, camas, aparadores, vajilla y aire acondicionado en el living comedor, pero también puede alquilarse vacío. se solicitan 2 garantías con recibo de sueldo o propiedad",,
Dueño alquila Dpto 3 dorm.2 baños c / cochera, $ 23.000 ,Bv. Las Heras 156  Bº Independencia,, Expensas $6850 ,,,
Dueño alquila PISO COMPLETO en Nueva Cordoba, $ 27.000 ,buenos aires 898  Bº Nueva Córdoba,, Expensas $7000 ,,,
Dueño alquila sin intermediarios, $ 20.000 ,Germania  Bº Yapeyu,,,,,
Duplex Cjo Cerrado 3dor Cochera Expensas $1500, $ 23.000 ,Av Don Bosco  4755  Bº Las Palmas,Grupo D inmuebles e inversiones,,"*informes, averiguacion de garantias, confeccion de contrato ($5000)",,
DUPLEX CON COCHERA, $ 20.000 ,armengol tecera 330  Bº Alberdi,MISUK, Expensas $1600 ,,,
Duplex V. Adela, $ 24.000 ,Petirossi 2600  Bº Villa Adela,,,,,
Edificio sobre Cañada a mts de Colon - 3 dom - Amplio - OPORTUNIDAD, $ 25.000 ,Figueroa Alcorta 251  Bº Centro,, Expensas $11000 ,,,
